"","Intercept","InterceptStdErr","Slope","SlopeStdErr","ResidStdErr","Rsq","AdjRsq","DegFree","Fstat","Pvalue"
"Subsample48",0.797680064669524,0.195739385289859,0.309069825981965,0.07537587165516,0.443424547807779,0.351642503454837,0.330727745501767,31,16.8131280430728,0.000276147823760187
"Subsample49",0.73555900860968,0.145684361684575,0.366771427434741,0.058767081997309,0.356713526164299,0.556834983993518,0.54253933831589,31,38.9513699870808,6.19040683476513e-07
"Subsample50",0.693125089380325,0.153328450812764,0.378744551258012,0.0599729324003027,0.410596666489025,0.562656421031953,0.548548563645887,31,39.8824857407245,5.01960649064734e-07
"Subsample51",0.753241488013722,0.181400879017201,0.35340389562096,0.0693597633620644,0.415791784220227,0.455771432587636,0.438215672348528,31,25.9613611931385,1.63467612649338e-05
"Subsample52",0.666240745293003,0.228923677973425,0.384225847939166,0.0819572515671523,0.444689680131028,0.414857157199244,0.395981581625026,31,21.9785169235261,5.24055092106904e-05
"Subsample53",0.689176817733631,0.137003622467099,0.367424162975802,0.0579862875766702,0.376488264265262,0.564300358195182,0.550245531040187,31,40.1499322597267,4.72875431517739e-07
"Subsample54",0.844912340089967,0.170162723266842,0.299989006755248,0.0703656547314885,0.382802002707154,0.36960631038223,0.349271030071979,31,18.1756191576035,0.000174846828293856
"Subsample55",0.753633636290376,0.203484376118988,0.354223635364661,0.0765350562506487,0.439424297337035,0.408630894688537,0.389554471936554,31,21.4207296620152,6.21589251183335e-05
"Subsample56",0.585055990698289,0.247702722557375,0.404991822426664,0.0879859991396275,0.438830900349909,0.405980056792828,0.386818123140984,31,21.1868000468603,6.68109231500967e-05
"Subsample57",0.676948251697716,0.168476085188862,0.354822860273867,0.0648760758609991,0.413881237437525,0.491074024697344,0.474657057752097,31,29.9125914266106,5.59208637703771e-06
"Subsample58",0.645243454056961,0.179864996370033,0.354304333263572,0.0679050694799274,0.429366412634153,0.467571557918648,0.450396446883766,31,27.2237866159363,1.15066882743876e-05
"Subsample59",0.824316277549454,0.18870203638328,0.342996121318675,0.0723098472476305,0.440809401981279,0.420561315298511,0.401869744824269,31,22.5000524101533,4.47539543702301e-05
"Subsample60",0.76824837173872,0.175935867023713,0.374290117705191,0.0703765038610593,0.408320951158235,0.477105098835606,0.46023752137869,31,28.2853361755269,8.61847816304734e-06
"Subsample61",0.633648266958102,0.151238995014432,0.401662056782306,0.0574348112189987,0.37592093961313,0.612049114206291,0.599534569503268,31,48.9070220875436,7.54062231114976e-08
"Subsample62",0.620943341656309,0.211743281222342,0.425416527505184,0.0806611324635795,0.356914256529499,0.472935639755217,0.455933563618289,31,27.8163464241877,9.78561304123135e-06
"Subsample63",0.733875092650436,0.162790297758799,0.392343166728206,0.0590253026993155,0.346476068134242,0.587673046129622,0.574372176649932,31,44.1830548767505,1.97525047818233e-07
"Subsample64",0.795224200078987,0.163046599268582,0.357088270789817,0.0638158360213314,0.390044715583475,0.50249399583462,0.486445415055091,31,31.3108057801349,3.89354722826203e-06
"Subsample65",0.643201002683731,0.234781669412081,0.398028040597074,0.0821476335776456,0.456012609522917,0.430949475784867,0.412593007261798,31,23.4767093269213,3.34498752297248e-05
"Subsample66",0.7348958649874,0.179144369426135,0.341605728966625,0.0691797105715919,0.372053537981521,0.440264669909252,0.422208691519227,31,24.3833183890216,2.56564333547004e-05
"Subsample67",0.629027194591967,0.136287364135219,0.443470254964766,0.0524841772607351,0.337176312185598,0.697252983871113,0.687486951092762,31,71.395724312614,1.52142935230254e-09
"Subsample68",0.556296286004029,0.245652421836303,0.411207023020182,0.0860635317310071,0.426614158065595,0.424099905001188,0.405522482581872,31,22.8287808409963,4.05506479794526e-05
"Subsample69",0.887551633201331,0.192487901484934,0.320559813866561,0.0762080667097748,0.41585274849318,0.363366060009305,0.342829481299928,31,17.6936024812832,0.000205193928493059
"Subsample70",0.69090943483823,0.17440655733339,0.335318853441954,0.067086983815556,0.397992656584338,0.446257526558049,0.428394866124438,31,24.9827022249355,2.15845817872888e-05
"Subsample71",0.674595631378198,0.200773449559936,0.377180359784684,0.0736988378806306,0.435996773331288,0.457970835668146,0.440486023915505,31,26.1924945002045,1.5319567296396e-05
"Subsample72",0.721744291098935,0.153420277272968,0.349151352904418,0.0607162492754395,0.362236624635049,0.516144656452746,0.500536419564125,31,33.0687354462842,2.49951114771703e-06
"Subsample73",0.536202318822221,0.187195744602218,0.405861880515298,0.0701710601336482,0.385631115224769,0.519032462949756,0.503517381109425,31,33.4534144448123,2.27233842408638e-06
"Subsample74",0.744158941195891,0.170022083499122,0.359142038761729,0.063972552923434,0.395423032595767,0.504135019897544,0.48813937537811,31,31.5170182286209,3.69378775251355e-06
"Subsample75",0.477275662259637,0.14951861457597,0.434511677321852,0.0557697870034344,0.354283790708487,0.661949481201588,0.651044625756477,31,60.7022701523675,8.61125195836781e-09
"Subsample76",0.834581981971192,0.205736545506436,0.276791847237462,0.0793452593701538,0.359197790473801,0.281896633174096,0.258732008437777,31,12.169272603502,0.00147808259858468
"Subsample77",0.875794830786405,0.160181076728039,0.303803224173293,0.0614826529103284,0.365567806957001,0.440597636512031,0.422552398980162,31,24.4162835614597,2.54124117173611e-05
"Subsample78",0.693238951933679,0.189715318747263,0.39610418284877,0.0691134799621909,0.448133450415303,0.514462900069957,0.49880041297544,31,32.8468203654603,2.64147442703389e-06
"Subsample79",0.446529774568462,0.165006012888404,0.465777097702065,0.0619639433978271,0.370625671154982,0.645729938609869,0.634301872113413,31,56.5038660573184,1.80076418738697e-08
"Subsample80",0.730988199029538,0.14612220765924,0.366931845338569,0.0651057471601374,0.358764520456024,0.506084546473373,0.490151789907998,31,31.7637782512281,3.46900490581418e-06
"Subsample81",0.653891062658694,0.189373884401614,0.372022913739549,0.0713680995368063,0.440082758133612,0.467103023252949,0.449912798196593,31,27.1725949905599,1.1669834451263e-05
"Subsample82",0.720270985156276,0.16227075387158,0.334106385785936,0.065044396967102,0.359356524044735,0.459784951868035,0.44235865999281,31,26.3845547383331,1.45183862150852e-05
"Subsample83",1.01655708810969,0.171140648125403,0.235501309810191,0.068802893916517,0.381448556587508,0.274273812667988,0.250863290495988,31,11.7158348990621,0.00176098904876539
"Subsample84",0.727073491480809,0.184113135073991,0.344606650497669,0.0691347116272915,0.417576165273771,0.444901208696213,0.42699479607351,31,24.8459151517675,2.24489174527968e-05
"Subsample85",0.783891282062193,0.166641967991289,0.292977902822735,0.0693260967819149,0.357090804360649,0.365531391261748,0.345064661947611,31,17.8597852959956,0.000194139767430739
"Subsample86",0.729022384083635,0.145956120402639,0.33793340480088,0.0562705784203471,0.339973958880551,0.537769629857325,0.522858972755949,31,36.0661254699282,1.20801551136571e-06
"Subsample87",0.818021448098179,0.140675171176339,0.34485955947469,0.0554051136260506,0.361694436404089,0.555506166886074,0.541167656140463,31,38.7422499269062,6.49144210386899e-07
