"unixtime","temp","oxy","disc"
1662307801,19.255,8.618,0.049721
1662308401,19.275,8.6145,0.04984
1662309001,19.29,8.618,0.049957
1662309601,19.315,8.617,0.050087
1662310201,19.35,8.6125,0.049993
1662310801,19.3825,8.602,0.050289
1662311401,19.42,8.5925,0.050458
1662312001,19.4725,8.5835,0.050627
1662312601,19.5275,8.578,0.050369
1662313201,19.575,8.5655,0.05047
1662313801,19.6275,8.546,0.050459
1662314401,19.66,8.5355,0.050231
1662315001,19.675,8.5345,0.04983
1662315601,19.68,8.5245,0.049787
1662316201,19.6725,8.528,0.04953
1662316801,19.6675,8.517,0.049086
1662317401,19.66,8.513,0.049022
1662318001,19.66,8.518,0.048861
1662318601,19.655,8.5225,0.04844
1662319201,19.66,8.5165,0.048337
1662319801,19.655,8.516,0.048216
1662320401,19.6525,8.513,0.047919
1662321001,19.6475,8.5185,0.04766
1662321601,19.645,8.5205,0.047642
1662322201,19.64,8.5175,0.04725
1662322801,19.64,8.514,0.047054
1662323401,19.64,8.5155,0.046605
1662324001,19.635,8.511,0.046335
1662324601,19.63,8.5125,0.04623
1662325201,19.6275,8.5105,0.045981
1662325801,19.6225,8.509,0.045975
1662326401,19.61,8.5055,0.045612
1662327001,19.6,8.504,0.045637
1662327601,19.5925,8.5015,0.045144
1662328201,19.585,8.5105,0.045065
1662328801,19.5775,8.5055,0.045195
1662329401,19.5725,8.5065,0.044858
1662330001,19.5625,8.5065,0.045175
1662330601,19.555,8.504,0.044991
1662331201,19.5475,8.504,0.045075
1662331801,19.5425,8.509,0.045165
1662332401,19.535,8.508,0.045094
1662333001,19.53,8.5075,0.044871
1662333601,19.5225,8.507,0.044878
1662334201,19.515,8.506,0.044841
1662334801,19.5075,8.505,0.044834
1662335401,19.5025,8.5005,0.045072
1662336001,19.495,8.509,0.044854
1662336601,19.485,8.5125,0.045211
1662337201,19.475,8.5135,0.045257
1662337801,19.465,8.5135,0.045326
1662338401,19.4575,8.5185,0.045516
1662339001,19.445,8.5235,0.045782
1662339601,19.4375,8.5255,0.045907
1662340201,19.425,8.5265,0.046148
1662340801,19.42,8.531,0.046042
1662341401,19.4075,8.5295,0.046288
1662342001,19.3975,8.5365,0.046618
1662342601,19.3925,8.5355,0.046802
1662343201,19.385,8.5385,0.046975
1662343801,19.3775,8.539,0.047197
1662344401,19.37,8.5385,0.047484
1662345001,19.3625,8.5415,0.047897
1662345601,19.3575,8.54,0.048381
1662346201,19.35,8.542,0.048959
1662346801,19.34,8.539,0.049126
1662347401,19.335,8.542,0.049605
1662348001,19.3275,8.545,0.04941
1662348601,19.32,8.544,0.050202
1662349201,19.3125,8.545,0.050955
1662349801,19.31,8.5475,0.051849
1662350401,19.305,8.547,0.051732
1662351001,19.295,8.5465,0.052291
1662351601,19.29,8.549,0.052182
1662352201,19.285,8.548,0.053425
1662352801,19.2825,8.549,0.054067
1662353401,19.275,8.5485,0.055331
1662354001,19.2675,8.551,0.056059
1662354601,19.265,8.5545,0.056376
1662355201,19.26,8.5555,0.056575
1662355801,19.255,8.557,0.057392
1662356401,19.245,8.555,0.057537
1662357001,19.24,8.5555,0.057414
1662357601,19.235,8.557,0.058263
1662358201,19.2275,8.5555,0.058789
1662358801,19.225,8.5575,0.05952
1662359401,19.2175,8.558,0.060991
1662360001,19.215,8.5615,0.062265
1662360601,19.215,8.566,0.063881
1662361201,19.2075,8.5675,0.065581
1662361801,19.205,8.5675,0.067167
1662362401,19.2025,8.5725,0.067726
1662363001,19.1975,8.576,0.068897
1662363601,19.1875,8.578,0.069783
1662364201,19.1825,8.5795,0.07021
1662364801,19.18,8.5825,0.070229
1662365401,19.17,8.5815,0.071106
1662366001,19.1675,8.5865,0.071766
1662366601,19.1575,8.586,0.072561
1662367201,19.1525,8.5895,0.07255
1662367801,19.145,8.5945,0.07345
1662368401,19.135,8.5975,0.075139
1662369001,19.13,8.5995,0.07708
1662369601,19.1225,8.5995,0.078595
1662370201,19.115,8.604,0.079626
1662370801,19.1075,8.6075,0.079945
1662371401,19.1025,8.6085,0.080233
1662372001,19.095,8.61,0.080351
1662372601,19.085,8.6105,0.079977
1662373201,19.0775,8.6155,0.080012
1662373801,19.07,8.615,0.079235
1662374401,19.0625,8.6185,0.078959
1662375001,19.0575,8.6205,0.078911
1662375601,19.05,8.6215,0.078325
1662376201,19.04,8.6275,0.078165
1662376801,19.035,8.628,0.077131
1662377401,19.03,8.631,0.076032
1662378001,19.02,8.6325,0.075206
1662378601,19.0175,8.6325,0.073929
1662379201,19.0125,8.6305,0.072647
1662379801,19.0075,8.634,0.072261
1662380401,19.005,8.6355,0.071347
1662381001,19,8.6405,0.070375
1662381601,19,8.6405,0.069671
1662382201,19.0025,8.641,0.069121
1662382801,19.005,8.642,0.068608
1662383401,19.0075,8.641,0.067867
1662384001,19.005,8.6375,0.066614
1662384601,19.01,8.639,0.066336
1662385201,19.01,8.6405,0.06565
1662385801,19.0125,8.6415,0.064871
1662386401,19.0175,8.645,0.064611
1662387001,19.025,8.646,0.064056
1662387601,19.035,8.641,0.063267
1662388201,19.045,8.6405,0.063117
1662388801,19.045,8.6425,0.062619
1662389401,19.0525,8.647,0.062418
1662390001,19.0625,8.6495,0.061853
1662390601,19.08,8.641,0.061647
